date,SPY,IWM,QQQ,MDY,TLT,GLD,USO
2006-04-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-11,0.9915214546147888,0.9822501949094835,0.9919546388070364,0.989740260613714,1.0035185396453339,0.9901006683272975,1.002646285122893
2006-04-12,0.9933714426659662,0.9925264870672323,0.9921914210320502,0.9929979480521227,0.997419939385872,0.9971476816560804,0.9973537148771069
2006-04-13,0.9920610711199678,0.9950620838261132,0.9962143582195863,0.9909182650904,0.9903830042326687,0.998322173210046,1.01176129213819
2006-04-17,0.9916754936527279,0.9957295377686837,0.9858023037771227,0.9938301286927136,0.994018727636622,1.0250000288022452,1.0260218224024473
2006-04-18,1.0073994723323174,1.0236222948952394,1.004732770680469,1.014904116994657,0.9957782136654858,1.0377516788188672,1.0401353056698788
2006-04-19,1.0093265598811962,1.031095682272337,1.0092286564995026,1.0235009042726442,0.9896779558251825,1.0696308998679065,1.0563069982368942
2006-04-20,1.0107139509461642,1.0256238406110947,1.005678975852729,1.0245401052203769,0.9888578857210438,1.0228188027713137,1.045133781922013
2006-04-21,1.0108676700691752,1.0233553007626441,0.9938475623336647,1.0216290102578176,0.9946047905671832,1.0604027245131813,1.0704204815043254
2006-04-24,1.0090178419754618,1.0152144594429762,0.9929017677070919,1.0172616632275373,0.99859192110953,1.0343960252389595,1.0439577424393895
2006-04-25,1.00485574875929,1.015881285607196,0.9907720619554495,1.0192719123981269,0.9867462718664642,1.0533557111843983,1.0385181251967777
2006-04-26,1.0050871272311266,1.0150812448769366,0.9905347665483268,1.0126862069837965,0.9851046902835423,1.0679530730779525,1.0223464326297622
2006-04-27,1.0099431159266128,1.006673032757663,1.0,1.009982260435005,0.9863950088655352,1.0563758506103067,1.0099970646682632
2006-04-28,1.0133341341870368,1.0169491365819066,0.9902977790504695,1.0170533618541382,0.9870982555547156,1.092114060475242,1.0235225842763802
2006-05-01,1.0050871272311264,1.0044041790200369,0.9805960712830477,1.0110226143423693,0.979679716464311,1.0932886800391861,1.0511614749879339
2006-05-02,1.012640878537579,1.0181505787896672,0.9831996493939833,1.01934089781607,0.9822708756632036,1.116610818046488,1.0635107307854383
2006-05-03,1.0088637229587905,1.0164151483167159,0.9817796744988521,1.01663765585372,0.9801509739044166,1.1151006843285445,1.0323434972980254
2006-05-04,1.0124865195847117,1.0288273307573912,0.9898251383282374,1.0234318548013883,0.9785027619981288,1.132214850412019,1.0044105125928198
2006-05-05,1.0214278219135966,1.0345654132172075,0.9976340252054525,1.0333446173919476,0.9843903450095972,1.1407718054437777,0.9997060181703427
2006-05-08,1.0201943099291035,1.0360334728905531,0.9985805382869776,1.0336220963432283,0.9849790024145189,1.133557035037995,0.9979417907004158
2006-05-09,1.0221982570394879,1.0345654132172075,0.9947947938701424,1.0334142433430191,0.9843903450095971,1.16912755183092,1.0055866642394375
2006-05-10,1.021658720513041,1.0282932169365306,0.9860388807292934,1.0323740175422806,0.9861561730868977,1.1808724673705762,1.0257277284087953
2006-05-11,1.0093265598811962,1.005071570184772,0.9640322976292013,1.0225301763163515,0.9813287211266535,1.1917785335202447,1.0335196489446432
2006-05-12,0.9961462247959022,0.9809155381356827,0.9510176914400197,0.9998608121511695,0.9732041967352433,1.1932886672381882,1.0160247577341839
2006-05-15,0.9981500119488226,0.9765112963378109,0.9503077553106649,0.9932753629500904,0.9770894941589375,1.1310403588580533,0.9795648418369903
2006-05-16,0.9966856013648852,0.9781130100220419,0.9432088045628045,0.9920967819935887,0.9843903450095971,1.151174536357458,0.9805939464867823
2006-05-17,0.9777244035266143,0.9602293625871349,0.9304303647801063,0.970884054216005,0.978267457587371,1.143456430715687,0.965892387396042
2006-05-18,0.9727914752908907,0.9511542615258065,0.9240420686165531,0.9645755715397039,0.9915726427957249,1.1318792082480411,0.9811820223100913
2006-05-19,0.9796516510329573,0.9595621597559048,0.9311409167279917,0.9672095718708595,0.9941634416509563,1.1003356293629798,0.9639812250932839
2006-05-22,0.9721751591816703,0.9488853450103455,0.9221488371806594,0.9589600816551632,0.9962837758221367,1.0956376631471174,0.9744193185880302
2006-05-23,0.9647756068706208,0.9366078210259167,0.913156757633327,0.9498786029588148,0.9956940373862314,1.11375837169259,0.9963246102273149
2006-05-24,0.9724834771937446,0.9438144653817594,0.9193091952996622,0.9520276556583576,0.9961651506888726,1.0748322013197573,0.9717730334651372
2006-05-25,0.9845073997922473,0.9636989051985008,0.9313773910437403,0.9642978363751719,0.9922790605091238,1.0855704463874367,0.9967657512177924
2006-05-26,0.9895175075044045,0.9694378665480082,0.9344538151497515,0.9718542697457948,0.9915726427957249,1.092281881557231,0.9960306283976575
2006-05-30,0.9719437007311017,0.9427468027405539,0.9143397450306009,0.9544537389359912,0.991101889836745,1.0924497026392201,1.0044105125928198
2006-05-31,0.9828114507790089,0.9591618882794348,0.918599464443151,0.9729635450177893,0.985213225794293,1.0776846476736555,0.9957366465680004
2006-06-01,0.9922151901366388,0.9778458903337767,0.9403691626818074,0.9863431291132236,0.9896120129351844,1.0496644794455017,0.9823581739567093
2006-06-02,0.9942959968085285,0.9771786247247114,0.9380029826144163,0.9882149590747372,1.0023792050573803,1.0654362688880323,1.012937443784808
2006-06-05,0.9798057700496283,0.948752318777811,0.9176527460887823,0.9678336432979899,1.001079733746393,1.0619127942261355,1.0105851404915722
2006-06-06,0.9774161654932719,0.9447487251234197,0.9169427073230059,0.9602772099273669,1.0058080911998097,1.0494966583635128,1.0108792344852238
